Energy(MeV)	Mass Attenuation(cm^2/g)	
2.000E-02	8.103E-01	
2.050E-02	7.655E-01	
2.100E-02	7.249E-01	
2.150E-02	6.880E-01	
2.200E-02	6.543E-01	
2.250E-02	6.236E-01	
2.300E-02	5.955E-01	
2.350E-02	5.698E-01	
2.400E-02	5.461E-01	
2.450E-02	5.244E-01	
2.500E-02	5.043E-01	
2.550E-02	4.858E-01	
2.600E-02	4.687E-01	
2.650E-02	4.528E-01	
2.700E-02	4.381E-01	
2.750E-02	4.244E-01	
2.800E-02	4.117E-01	
2.850E-02	3.999E-01	
2.900E-02	3.888E-01	
2.950E-02	3.785E-01	
3.000E-02	3.688E-01	
3.050E-02	3.597E-01	
3.100E-02	3.512E-01	
3.150E-02	3.432E-01	
3.200E-02	3.357E-01	
3.250E-02	3.287E-01	
3.300E-02	3.220E-01		
3.350E-02	7.521E-01	
3.400E-02	7.300E-01	
3.450E-02	7.090E-01	
3.500E-02	6.890E-01	
3.550E-02	6.701E-01	
3.600E-02	6.521E-01	
3.650E-02	6.350E-01	
3.700E-02	6.187E-01	
3.750E-02	6.032E-01	
3.800E-02	5.884E-01	
3.850E-02	5.742E-01	
3.900E-02	5.608E-01	
3.950E-02	5.479E-01	
4.000E-02	5.356E-01	
4.050E-02	5.238E-01	
4.100E-02	5.125E-01	
4.150E-02	5.017E-01	
4.200E-02	4.913E-01	
4.250E-02	4.814E-01	
4.300E-02	4.719E-01	
4.350E-02	4.628E-01	
4.400E-02	4.540E-01	
4.450E-02	4.455E-01	
4.500E-02	4.374E-01	
4.550E-02	4.296E-01	
4.600E-02	4.221E-01	
4.650E-02	4.149E-01	
4.700E-02	4.080E-01	
4.750E-02	4.013E-01	
4.800E-02	3.948E-01	
4.850E-02	3.886E-01	
4.900E-02	3.826E-01	
4.950E-02	3.768E-01	
5.000E-02	3.712E-01	
5.050E-02	3.657E-01	
5.100E-02	3.605E-01	
5.150E-02	3.555E-01	
5.200E-02	3.506E-01	
5.250E-02	3.459E-01	
5.300E-02	3.413E-01	
5.350E-02	3.369E-01	
5.400E-02	3.326E-01	
5.450E-02	3.285E-01	
5.500E-02	3.245E-01	
5.550E-02	3.206E-01	
5.600E-02	3.168E-01	
5.650E-02	3.132E-01	
5.700E-02	3.096E-01	
5.750E-02	3.062E-01	
5.800E-02	3.029E-01	
5.850E-02	2.996E-01	
5.900E-02	2.965E-01	
5.950E-02	2.935E-01	
6.000E-02	2.905E-01	
6.050E-02	2.876E-01	
6.100E-02	2.849E-01	
6.150E-02	2.821E-01	
6.200E-02	2.795E-01	
6.250E-02	2.769E-01	
6.300E-02	2.745E-01	
6.350E-02	2.720E-01	
6.400E-02	2.697E-01	
6.450E-02	2.674E-01	
6.500E-02	2.651E-01	
6.550E-02	2.630E-01	
6.600E-02	2.609E-01	
6.650E-02	2.588E-01	
6.700E-02	2.568E-01	
6.750E-02	2.548E-01	
6.800E-02	2.529E-01	
6.850E-02	2.510E-01	
6.900E-02	2.492E-01	
6.950E-02	2.474E-01	
7.000E-02	2.457E-01	
7.050E-02	2.440E-01	
7.100E-02	2.423E-01	
7.150E-02	2.407E-01	
7.200E-02	2.391E-01	
7.250E-02	2.376E-01	
7.300E-02	2.361E-01	
7.350E-02	2.346E-01	
7.400E-02	2.332E-01	
7.450E-02	2.318E-01	
7.500E-02	2.304E-01	
7.550E-02	2.290E-01	
7.600E-02	2.277E-01	
7.650E-02	2.264E-01	
7.700E-02	2.252E-01	
7.750E-02	2.239E-01	
7.800E-02	2.227E-01	
7.850E-02	2.215E-01	
7.900E-02	2.203E-01	
7.950E-02	2.192E-01	
8.000E-02	2.181E-01	
