Energy(MeV)	Mass Attenuation(cm^2/g)	
2.000E-02	6.172E-01	
2.050E-02	5.854E-01	
2.100E-02	5.566E-01	
2.150E-02	5.304E-01	
2.200E-02	5.067E-01	
2.250E-02	4.850E-01	
2.300E-02	4.652E-01	
2.350E-02	4.471E-01	
2.400E-02	4.306E-01	
2.450E-02	4.153E-01	
2.500E-02	4.013E-01	
2.550E-02	3.884E-01	
2.600E-02	3.765E-01	
2.650E-02	3.654E-01	
2.700E-02	3.552E-01	
2.750E-02	3.457E-01	
2.800E-02	3.369E-01	
2.850E-02	3.287E-01	
2.900E-02	3.211E-01	
2.950E-02	3.140E-01	
3.000E-02	3.073E-01	
3.050E-02	3.010E-01	
3.100E-02	2.952E-01	
3.150E-02	2.897E-01	
3.200E-02	2.845E-01	
3.250E-02	2.797E-01	
3.300E-02	2.752E-01		
3.350E-02	4.753E-01	
3.400E-02	4.637E-01	
3.450E-02	4.526E-01	
3.500E-02	4.422E-01	
3.550E-02	4.322E-01	
3.600E-02	4.228E-01	
3.650E-02	4.138E-01	
3.700E-02	4.052E-01	
3.750E-02	3.971E-01	
3.800E-02	3.893E-01	
3.850E-02	3.819E-01	
3.900E-02	3.749E-01	
3.950E-02	3.681E-01	
4.000E-02	3.617E-01	
4.050E-02	3.555E-01	
4.100E-02	3.496E-01	
4.150E-02	3.439E-01	
4.200E-02	3.385E-01	
4.250E-02	3.333E-01	
4.300E-02	3.283E-01	
4.350E-02	3.235E-01	
4.400E-02	3.189E-01	
4.450E-02	3.145E-01	
4.500E-02	3.103E-01	
4.550E-02	3.062E-01	
4.600E-02	3.022E-01	
4.650E-02	2.985E-01	
4.700E-02	2.948E-01	
4.750E-02	2.913E-01	
4.800E-02	2.879E-01	
4.850E-02	2.846E-01	
4.900E-02	2.815E-01	
4.950E-02	2.784E-01	
5.000E-02	2.755E-01	
5.050E-02	2.726E-01	
5.100E-02	2.698E-01	
5.150E-02	2.672E-01	
5.200E-02	2.646E-01	
5.250E-02	2.621E-01	
5.300E-02	2.597E-01	
5.350E-02	2.573E-01	
5.400E-02	2.551E-01	
5.450E-02	2.529E-01	
5.500E-02	2.507E-01	
5.550E-02	2.487E-01	
5.600E-02	2.467E-01	
5.650E-02	2.447E-01	
5.700E-02	2.428E-01	
5.750E-02	2.410E-01	
5.800E-02	2.392E-01	
5.850E-02	2.375E-01	
5.900E-02	2.358E-01	
5.950E-02	2.342E-01	
6.000E-02	2.326E-01	
6.050E-02	2.310E-01	
6.100E-02	2.295E-01	
6.150E-02	2.281E-01	
6.200E-02	2.266E-01	
6.250E-02	2.253E-01	
6.300E-02	2.239E-01	
6.350E-02	2.226E-01	
6.400E-02	2.213E-01	
6.450E-02	2.200E-01	
6.500E-02	2.188E-01	
6.550E-02	2.176E-01	
6.600E-02	2.165E-01	
6.650E-02	2.153E-01	
