Energy(MeV)	Mass Attenuation(cm^2/g)	
2.000E-02	5.216E-01	
2.050E-02	4.961E-01	
2.100E-02	4.731E-01	
2.150E-02	4.523E-01	
2.200E-02	4.334E-01	
2.250E-02	4.162E-01	
2.300E-02	4.005E-01	
2.350E-02	3.862E-01	
2.400E-02	3.731E-01	
2.450E-02	3.611E-01	
2.500E-02	3.501E-01	
2.550E-02	3.399E-01	
2.600E-02	3.306E-01	
2.650E-02	3.219E-01	
2.700E-02	3.139E-01	
2.750E-02	3.065E-01	
2.800E-02	2.996E-01	
2.850E-02	2.932E-01	
2.900E-02	2.873E-01	
2.950E-02	2.817E-01	
3.000E-02	2.766E-01	
3.050E-02	2.717E-01	
3.100E-02	2.672E-01	
3.150E-02	2.629E-01	
3.200E-02	2.590E-01	
3.250E-02	2.552E-01	
3.300E-02	2.517E-01		
3.350E-02	3.358E-01	
3.400E-02	3.294E-01	
3.450E-02	3.233E-01	
3.500E-02	3.176E-01	
3.550E-02	3.122E-01	
3.600E-02	3.071E-01	
3.650E-02	3.022E-01	
3.700E-02	2.975E-01	
3.750E-02	2.931E-01	
3.800E-02	2.889E-01	
3.850E-02	2.849E-01	
3.900E-02	2.810E-01	
3.950E-02	2.774E-01	
4.000E-02	2.739E-01	
4.050E-02	2.705E-01	
4.100E-02	2.673E-01	
4.150E-02	2.643E-01	
4.200E-02	2.613E-01	
4.250E-02	2.585E-01	
4.300E-02	2.558E-01	
4.350E-02	2.532E-01	
4.400E-02	2.507E-01	
4.450E-02	2.483E-01	
4.500E-02	2.460E-01	
4.550E-02	2.438E-01	
4.600E-02	2.417E-01	
4.650E-02	2.396E-01	
4.700E-02	2.376E-01	
4.750E-02	2.357E-01	
4.800E-02	2.338E-01	
4.850E-02	2.321E-01	
4.900E-02	2.303E-01	
4.950E-02	2.287E-01	
5.000E-02	2.270E-01	
5.050E-02	2.255E-01	
5.100E-02	2.240E-01	
5.150E-02	2.225E-01	
5.200E-02	2.211E-01	
5.250E-02	2.197E-01	
5.300E-02	2.184E-01	
5.350E-02	2.171E-01	
5.400E-02	2.158E-01	
5.450E-02	2.146E-01	
5.500E-02	2.134E-01	
5.550E-02	2.123E-01	
5.600E-02	2.112E-01	
5.650E-02	2.101E-01	
5.700E-02	2.090E-01	
5.750E-02	2.080E-01	
5.800E-02	2.070E-01	
5.850E-02	2.060E-01	
5.900E-02	2.051E-01	
5.950E-02	2.041E-01	
6.000E-02	2.032E-01	
6.050E-02	2.024E-01	
6.100E-02	2.015E-01	
6.150E-02	2.007E-01	
6.200E-02	1.998E-01	
6.250E-02	1.990E-01	
6.300E-02	1.983E-01	
6.350E-02	1.975E-01	
6.400E-02	1.968E-01	
6.450E-02	1.960E-01	
6.500E-02	1.953E-01	
6.550E-02	1.946E-01	
6.600E-02	1.939E-01	
6.650E-02	1.933E-01	
6.700E-02	1.926E-01	
6.750E-02	1.920E-01	
6.800E-02	1.913E-01	
6.850E-02	1.907E-01	
6.900E-02	1.901E-01	
6.950E-02	1.895E-01	
7.000E-02	1.889E-01	
7.050E-02	1.884E-01	
7.100E-02	1.878E-01	
7.150E-02	1.873E-01	
7.200E-02	1.867E-01	
7.250E-02	1.862E-01	
7.300E-02	1.857E-01	
7.350E-02	1.851E-01
7.400E-02	1.846E-01	
7.450E-02	1.841E-01	
7.500E-02	1.837E-01	
7.550E-02	1.832E-01	
7.600E-02	1.827E-01	
7.650E-02	1.822E-01	
7.700E-02	1.818E-01	
7.750E-02	1.813E-01	
7.800E-02	1.809E-01	
7.850E-02	1.804E-01	
7.900E-02	1.800E-01	
7.950E-02	1.796E-01	
8.000E-02	1.792E-01	
8.050E-02	1.788E-01	
8.100E-02	1.784E-01	
8.150E-02	1.779E-01	
8.200E-02	1.776E-01	
8.250E-02	1.772E-01	
8.300E-02	1.768E-01	
8.350E-02	1.764E-01	
8.400E-02	1.760E-01	
8.450E-02	1.756E-01	
8.500E-02	1.753E-01	
8.550E-02	1.749E-01	
8.600E-02	1.746E-01	
8.650E-02	1.742E-01	
8.700E-02	1.739E-01	
8.750E-02	1.735E-01	
8.800E-02	1.732E-01	
8.850E-02	1.728E-01	
8.900E-02	1.725E-01	
8.950E-02	1.722E-01	
9.000E-02	1.718E-01	
9.050E-02	1.715E-01	
9.100E-02	1.712E-01	
9.150E-02	1.709E-01	
9.200E-02	1.706E-01	
9.250E-02	1.702E-01	
9.300E-02	1.699E-01	
9.350E-02	1.696E-01	
9.400E-02	1.693E-01	
9.450E-02	1.690E-01	
9.500E-02	1.687E-01	
9.550E-02	1.685E-01	
9.600E-02	1.682E-01	
9.650E-02	1.679E-01	
9.700E-02	1.676E-01	
9.750E-02	1.673E-01	
9.800E-02	1.670E-01	
9.850E-02	1.668E-01	
9.900E-02	1.665E-01	
9.950E-02	1.662E-01	
1.000E-01	1.659E-01	
1.005E-01	1.657E-01	
1.010E-01	1.654E-01	
1.015E-01	1.651E-01	
1.020E-01	1.649E-01	
1.025E-01	1.646E-01	
1.030E-01	1.644E-01	
1.035E-01	1.641E-01	
1.040E-01	1.639E-01	
1.045E-01	1.636E-01	
1.050E-01	1.634E-01	
1.055E-01	1.631E-01	
1.060E-01	1.629E-01	
1.065E-01	1.626E-01	
1.070E-01	1.624E-01	
1.075E-01	1.622E-01	
1.080E-01	1.619E-01	
1.085E-01	1.617E-01	
1.090E-01	1.614E-01	
1.095E-01	1.612E-01	
1.100E-01	1.610E-01	
1.105E-01	1.608E-01	
1.110E-01	1.605E-01	
1.115E-01	1.603E-01	
1.120E-01	1.601E-01	
