Energy(MeV)	Mass Attenuation(cm^2/g)
2.000E-02	4.316E-01	
2.050E-02	4.154E-01	
2.100E-02	4.007E-01	
2.150E-02	3.873E-01	
2.200E-02	3.752E-01	
2.250E-02	3.641E-01	
2.300E-02	3.539E-01	
2.350E-02	3.445E-01	
2.400E-02	3.360E-01	
2.450E-02	3.280E-01	
2.500E-02	3.207E-01	
2.550E-02	3.140E-01	
2.600E-02	3.077E-01	
2.650E-02	3.019E-01	
2.700E-02	2.964E-01	
2.750E-02	2.914E-01	
2.800E-02	2.867E-01	
2.850E-02	2.823E-01	
2.900E-02	2.782E-01	
2.950E-02	2.743E-01	
3.000E-02	2.707E-01	
3.050E-02	2.672E-01	
3.100E-02	2.640E-01	
3.150E-02	2.610E-01	
3.200E-02	2.581E-01	
3.250E-02	2.554E-01	
3.300E-02	2.529E-01	
3.350E-02	2.504E-01	
3.400E-02	2.481E-01	
3.450E-02	2.459E-01	
3.500E-02	2.438E-01	
3.550E-02	2.419E-01	
3.600E-02	2.400E-01	
3.650E-02	2.382E-01	
3.700E-02	2.364E-01	
3.750E-02	2.348E-01	
3.800E-02	2.332E-01	
3.850E-02	2.317E-01	
3.900E-02	2.302E-01	
3.950E-02	2.288E-01	
4.000E-02	2.275E-01	
4.050E-02	2.262E-01	
4.100E-02	2.250E-01	
4.150E-02	2.238E-01	
4.200E-02	2.226E-01	
4.250E-02	2.215E-01	
4.300E-02	2.204E-01	
4.350E-02	2.194E-01	
4.400E-02	2.184E-01	
4.450E-02	2.174E-01	
4.500E-02	2.165E-01	
4.550E-02	2.156E-01	
4.600E-02	2.147E-01	
4.650E-02	2.138E-01	
4.700E-02	2.130E-01	
4.750E-02	2.122E-01	
4.800E-02	2.114E-01	
4.850E-02	2.106E-01	
4.900E-02	2.099E-01	
4.950E-02	2.091E-01	
5.000E-02	2.084E-01	
5.050E-02	2.077E-01	
5.100E-02	2.070E-01	
5.150E-02	2.064E-01	
5.200E-02	2.057E-01	
5.250E-02	2.051E-01	
5.300E-02	2.045E-01	
5.350E-02	2.039E-01	
5.400E-02	2.033E-01	
5.450E-02	2.027E-01	
5.500E-02	2.021E-01	
5.550E-02	2.016E-01	
5.600E-02	2.010E-01	
5.650E-02	2.005E-01	
5.700E-02	2.000E-01	
5.750E-02	1.994E-01	
5.800E-02	1.989E-01	
5.850E-02	1.984E-01	
5.900E-02	1.979E-01	
5.950E-02	1.975E-01	
6.000E-02	1.970E-01	
6.050E-02	1.965E-01	
6.100E-02	1.961E-01	
6.150E-02	1.956E-01	
6.200E-02	1.952E-01	
6.250E-02	1.947E-01	
6.300E-02	1.943E-01	
6.350E-02	1.939E-01	
6.400E-02	1.934E-01	
6.450E-02	1.930E-01	
6.500E-02	1.926E-01	
6.550E-02	1.922E-01	
6.600E-02	1.918E-01	
6.650E-02	1.914E-01	
6.700E-02	1.910E-01	
6.750E-02	1.906E-01	
6.800E-02	1.903E-01	
6.850E-02	1.899E-01	
6.900E-02	1.895E-01	
6.950E-02	1.892E-01	
7.000E-02	1.888E-01	
7.050E-02	1.884E-01	
7.100E-02	1.881E-01	
7.150E-02	1.877E-01	
7.200E-02	1.874E-01	
7.250E-02	1.870E-01	
7.300E-02	1.867E-01	
7.350E-02	1.864E-01	
7.400E-02	1.860E-01	
7.450E-02	1.857E-01	
7.500E-02	1.854E-01	
7.550E-02	1.851E-01	
7.600E-02	1.847E-01	
7.650E-02	1.844E-01	
7.700E-02	1.841E-01	
7.750E-02	1.838E-01	
7.800E-02	1.835E-01	
7.850E-02	1.832E-01	
7.900E-02	1.829E-01	
7.950E-02	1.826E-01	
8.000E-02	1.823E-01	
8.050E-02	1.820E-01	
8.100E-02	1.817E-01	
8.150E-02	1.814E-01	
8.200E-02	1.811E-01	
8.250E-02	1.808E-01	
8.300E-02	1.805E-01	
8.350E-02	1.803E-01	
8.400E-02	1.800E-01	
8.450E-02	1.797E-01	
8.500E-02	1.794E-01	
8.550E-02	1.792E-01	
8.600E-02	1.789E-01	
8.650E-02	1.786E-01	
8.700E-02	1.783E-01	
8.750E-02	1.781E-01	
8.800E-02	1.778E-01	
8.850E-02	1.775E-01	
8.900E-02	1.773E-01	
8.950E-02	1.770E-01	
9.000E-02	1.768E-01	
9.050E-02	1.765E-01	
9.100E-02	1.763E-01	
9.150E-02	1.760E-01	
9.200E-02	1.757E-01	
9.250E-02	1.755E-01	
9.300E-02	1.752E-01	
9.350E-02	1.750E-01	
9.400E-02	1.748E-01	
9.450E-02	1.745E-01	
9.500E-02	1.743E-01	
9.550E-02	1.740E-01	
9.600E-02	1.738E-01	
9.650E-02	1.735E-01	
9.700E-02	1.733E-01	
9.750E-02	1.731E-01	
9.800E-02	1.728E-01	
9.850E-02	1.726E-01	
9.900E-02	1.724E-01	
9.950E-02	1.721E-01	
1.000E-01	1.719E-01	
1.005E-01	1.717E-01	
1.010E-01	1.715E-01	
1.015E-01	1.712E-01	
1.020E-01	1.710E-01	
1.025E-01	1.708E-01	
1.030E-01	1.706E-01	
1.035E-01	1.703E-01	
1.040E-01	1.701E-01	
1.045E-01	1.699E-01	
1.050E-01	1.697E-01	
1.055E-01	1.695E-01	
1.060E-01	1.693E-01	
1.065E-01	1.690E-01	
1.070E-01	1.688E-01	
1.075E-01	1.686E-01	
1.080E-01	1.684E-01	
1.085E-01	1.682E-01	
1.090E-01	1.680E-01	
1.095E-01	1.678E-01	
1.100E-01	1.676E-01	
1.105E-01	1.674E-01	
1.110E-01	1.672E-01	
1.115E-01	1.669E-01	
1.120E-01	1.667E-01	
1.125E-01	1.665E-01	
1.130E-01	1.663E-01	
1.135E-01	1.661E-01	
1.140E-01	1.659E-01	
1.145E-01	1.657E-01	
1.150E-01	1.655E-01	
1.155E-01	1.653E-01	
1.160E-01	1.651E-01	
1.165E-01	1.650E-01	
1.170E-01	1.648E-01	
1.175E-01	1.646E-01	
1.180E-01	1.644E-01	
1.185E-01	1.642E-01	
1.190E-01	1.640E-01	
1.195E-01	1.638E-01	
1.200E-01	1.636E-01	
